date,origin,destination,forecast_index,lower_bound,upper_bound,actual_index
2026-08-24,DEL,BOM,129.7,127.2,132.2,130.08
2026-08-25,DEL,BOM,129.9,127.4,132.4,130.55
2026-08-26,DEL,BOM,130.1,127.6,132.6,129.64
2026-08-27,DEL,BOM,130.3,127.8,132.8,
2026-08-28,DEL,BOM,130.5,128.0,133.0,
2026-08-29,DEL,BOM,130.7,128.2,133.2,
2026-08-30,DEL,BOM,130.9,128.4,133.4,
2026-08-31,DEL,BOM,131.1,128.6,133.6,
2026-09-01,DEL,BOM,131.3,128.8,133.8,
2026-09-02,DEL,BOM,131.5,129.0,134.0,
2026-09-03,DEL,BOM,131.7,129.2,134.2,
2026-09-04,DEL,BOM,131.9,129.4,134.4,
2026-09-05,DEL,BOM,132.1,129.6,134.6,
2026-09-06,DEL,BOM,132.3,129.8,134.8,
