date,apix_value,dgca_ref,avg_fare
2026-07-25,129.13,126.43,5825
2026-07-26,128.67,127.53,5925
2026-07-27,128.25,126.81,5886
2026-07-28,129.56,126.88,5940
2026-07-29,129.7,127.36,5823
2026-07-30,129.82,127.68,5841
2026-07-31,129.68,128.32,5879
2026-08-01,130.16,127.72,5906
2026-08-02,129.03,128.09,5950
2026-08-03,129.69,128.13,5982
2026-08-04,130.16,128.72,5930
2026-08-05,130.62,128.56,5962
2026-08-06,131.03,128.37,5919
2026-08-07,130.97,128.18,6038
2026-08-08,130.25,128.17,6042
2026-08-09,130.28,128.21,6006
2026-08-10,130.56,128.6,6110
2026-08-11,130.87,128.98,6041
2026-08-12,131.65,129.73,5978
2026-08-13,132.29,130.11,6131
2026-08-14,130.67,129.34,6121
2026-08-15,131.9,129.89,6127
2026-08-16,132.93,129.38,6051
2026-08-17,132.38,130.39,6132
2026-08-18,132.51,130.69,6183
2026-08-19,132.84,130.79,6071
2026-08-20,131.79,130.17,6128
2026-08-21,132.86,131.26,6100
2026-08-22,133.26,130.17,6171
2026-08-23,132.66,130.68,6237
