date,origin,destination,avg_fare,min_fare,max_fare
2026-07-25,DEL,BOM,5312,4100,11200
2026-07-26,DEL,BOM,5427,4100,11200
2026-07-27,DEL,BOM,5263,4100,11200
2026-07-28,DEL,BOM,5378,4100,11200
2026-07-29,DEL,BOM,5399,4100,11200
2026-07-30,DEL,BOM,5541,4100,11200
2026-07-31,DEL,BOM,5338,4100,11200
2026-08-01,DEL,BOM,5434,4100,11200
2026-08-02,DEL,BOM,5379,4100,11200
2026-08-03,DEL,BOM,5521,4100,11200
2026-08-04,DEL,BOM,5485,4100,11200
2026-08-05,DEL,BOM,5446,4100,11200
2026-08-06,DEL,BOM,5392,4100,11200
2026-08-07,DEL,BOM,5580,4100,11200
2026-08-08,DEL,BOM,5387,4100,11200
2026-08-09,DEL,BOM,5323,4100,11200
2026-08-10,DEL,BOM,5460,4100,11200
2026-08-11,DEL,BOM,5384,4100,11200
2026-08-12,DEL,BOM,5430,4100,11200
2026-08-13,DEL,BOM,5472,4100,11200
2026-08-14,DEL,BOM,5534,4100,11200
2026-08-15,DEL,BOM,5475,4100,11200
2026-08-16,DEL,BOM,5315,4100,11200
2026-08-17,DEL,BOM,5485,4100,11200
2026-08-18,DEL,BOM,5334,4100,11200
2026-08-19,DEL,BOM,5442,4100,11200
2026-08-20,DEL,BOM,5537,4100,11200
2026-08-21,DEL,BOM,5263,4100,11200
2026-08-22,DEL,BOM,5493,4100,11200
2026-08-23,DEL,BOM,5464,4100,11200
