days_to_departure,route,median_fare,base_fare,route_index,weight,airfare_index
1.0,BLR-BOM,12947.0,4617.0,280.42018626813945,0.1,136.12635940241427
1.0,BLR-DEL,12878.0,8710.0,147.85304247990817,0.1,136.12635940241427
1.0,BLR-HYD,8346.0,4323.0,193.06037473976406,0.1,136.12635940241427
1.0,BOM-BLR,6809.0,5152.0,132.16226708074535,0.1,136.12635940241427
1.0,BOM-DEL,6616.0,6641.0,99.62355067007981,0.1,136.12635940241427
1.0,BOM-HYD,5803.0,5645.0,102.79893711248893,0.1,136.12635940241427
1.0,DEL-BLR,8735.0,8576.0,101.85401119402985,0.1,136.12635940241427
1.0,DEL-BOM,6596.0,6425.0,102.6614785992218,0.1,136.12635940241427
1.0,DEL-CCU,8144.5,8231.0,98.94909488519014,0.1,136.12635940241427
1.0,DEL-HYD,8451.0,8295.0,101.88065099457503,0.1,136.12635940241427
3.0,BLR-BOM,7647.0,4617.0,165.62703053931125,0.1,120.85001666241718
3.0,BLR-DEL,10923.0,8710.0,125.40757749712974,0.1,120.85001666241718
3.0,BLR-HYD,8870.0,4323.0,205.18158686097618,0.1,120.85001666241718
3.0,BOM-BLR,5311.0,5152.0,103.08618012422359,0.1,120.85001666241718
3.0,BOM-DEL,6535.5,6641.0,98.41138382773678,0.1,120.85001666241718
3.0,BOM-HYD,5724.0,5645.0,101.39946855624447,0.1,120.85001666241718
3.0,DEL-BLR,8971.0,8576.0,104.60587686567165,0.1,120.85001666241718
3.0,DEL-BOM,6582.0,6425.0,102.44357976653697,0.1,120.85001666241718
3.0,DEL-CCU,8346.0,8231.0,101.39715708905356,0.1,120.85001666241718
3.0,DEL-HYD,8373.0,8295.0,100.94032549728753,0.1,120.85001666241718
7.0,BLR-BOM,5649.5,4617.0,122.36300628113494,0.1,110.85993090580041
7.0,BLR-DEL,8710.0,8710.0,100.0,0.1,110.85993090580041
7.0,BLR-HYD,6091.0,4323.0,140.89752486699052,0.1,110.85993090580041
7.0,BOM-BLR,4996.0,5152.0,96.972049689441,0.1,110.85993090580041
7.0,BOM-DEL,6535.5,6641.0,98.41138382773678,0.1,110.85993090580041
7.0,BOM-HYD,5645.0,5645.0,100.0,0.1,110.85993090580041
7.0,DEL-BLR,11368.0,8576.0,132.55597014925374,0.1,110.85993090580041
7.0,DEL-BOM,6596.0,6425.0,102.6614785992218,0.1,110.85993090580041
7.0,DEL-CCU,8425.0,8231.0,102.35694326327298,0.1,110.85993090580041
7.0,DEL-HYD,9322.0,8295.0,112.38095238095238,0.1,110.85993090580041
14.0,BLR-BOM,4940.5,4617.0,107.00671431665583,0.1,101.48934362031838
14.0,BLR-DEL,8710.0,8710.0,100.0,0.1,101.48934362031838
14.0,BLR-HYD,4323.0,4323.0,100.0,0.1,101.48934362031838
14.0,BOM-BLR,5074.0,5152.0,98.4860248447205,0.1,101.48934362031838
14.0,BOM-DEL,6614.0,6641.0,99.59343472368619,0.1,101.48934362031838
14.0,BOM-HYD,5645.0,5645.0,100.0,0.1,101.48934362031838
14.0,DEL-BLR,9518.0,8576.0,110.98414179104476,0.1,101.48934362031838
14.0,DEL-BOM,6582.0,6425.0,102.44357976653697,0.1,101.48934362031838
14.0,DEL-CCU,7933.0,8231.0,96.37954076053943,0.1,101.48934362031838
14.0,DEL-HYD,8295.0,8295.0,100.0,0.1,101.48934362031838
30.0,BLR-BOM,4617.0,4617.0,100.0,0.1,100.0
30.0,BLR-DEL,8710.0,8710.0,100.0,0.1,100.0
30.0,BLR-HYD,4323.0,4323.0,100.0,0.1,100.0
30.0,BOM-BLR,5152.0,5152.0,100.0,0.1,100.0
30.0,BOM-DEL,6641.0,6641.0,100.0,0.1,100.0
30.0,BOM-HYD,5645.0,5645.0,100.0,0.1,100.0
30.0,DEL-BLR,8576.0,8576.0,100.0,0.1,100.0
30.0,DEL-BOM,6425.0,6425.0,100.0,0.1,100.0
30.0,DEL-CCU,8231.0,8231.0,100.0,0.1,100.0
30.0,DEL-HYD,8295.0,8295.0,100.0,0.1,100.0
