route,airline,price
BLR-BOM,Air India,5037.0
BLR-BOM,Akasa Air,7932.0
BLR-BOM,IndiGo,7172.0
BLR-BOM,SpiceJet,5422.0
BLR-DEL,Air India,8710.0
BLR-DEL,Air India Express,9970.0
BLR-DEL,Akasa Air,12419.0
BLR-DEL,IndiGo,10923.0
BLR-HYD,Air India Express,7073.0
BLR-HYD,Alliance Air,7505.0
BLR-HYD,IndiGo,4323.0
BLR-HYD,Star Air,8743.0
BOM-BLR,Air India,5152.0
BOM-BLR,Akasa Air,6107.0
BOM-BLR,IndiGo,4996.0
BOM-DEL,Air India,6614.0
BOM-DEL,Air India Express,6724.0
BOM-DEL,Akasa Air,6912.0
BOM-DEL,IndiGo,6457.0
BOM-DEL,SpiceJet,6695.0
BOM-HYD,Air India,6113.0
BOM-HYD,IndiGo,5645.0
DEL-BLR,Air India,8735.0
DEL-BLR,Air India Express,8971.0
DEL-BLR,Akasa Air,9031.0
DEL-BLR,IndiGo,8576.0
DEL-BOM,Air India,6582.0
DEL-BOM,Air India Express,6610.0
DEL-BOM,Akasa Air,6880.0
DEL-BOM,IndiGo,6425.0
DEL-CCU,Air India,8504.0
DEL-CCU,Akasa Air,8082.0
DEL-CCU,IndiGo,8346.0
DEL-CCU,SpiceJet,7721.5
DEL-HYD,Air India,8451.0
DEL-HYD,Akasa Air,8684.0
DEL-HYD,IndiGo,8295.0
