collected_at,departure_date,origin,destination,route,airline,flight_number,departure_time,arrival_time,price,currency,travel_class,stops,source,days_to_departure,anomaly_prediction,anomaly_score,is_anomaly,anomaly_type
2026-08-23T12:28:48.655759,2026-09-06,BOM,BLR,BOM-BLR,Akasa Air,QP 1133,2026-09-06 20:05,2026-09-06 21:45,8671,INR,Economy,0,SerpApi Google Flights,14.0,-1,-0.11754065522943724,True,high_price
2026-08-23T12:22:22.818116,2026-08-24,BLR,BOM,BLR-BOM,Akasa Air,QP 1528,2026-08-24 10:20,2026-08-24 12:10,15959,INR,Economy,0,SerpApi Google Flights,1.0,-1,-0.0883977168171628,True,high_price
2026-08-23T12:34:17.472825,2026-09-22,BOM,DEL,BOM-DEL,Akasa Air,QP 1127,2026-09-22 13:00,2026-09-22 15:20,6912,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.06965162827594717,True,high_price
2026-08-23T12:27:46.629867,2026-08-30,DEL,BOM,DEL-BOM,Akasa Air,QP 1112,2026-08-30 09:20,2026-08-30 11:45,7243,INR,Economy,0,SerpApi Google Flights,7.0,-1,-0.06461852297947102,True,high_price
2026-08-23T12:28:48.655759,2026-09-06,DEL,BLR,DEL-BLR,Akasa Air,QP 1308,2026-09-06 20:55,2026-09-06 23:50,11638,INR,Economy,0,SerpApi Google Flights,14.0,-1,-0.061340644004849065,True,high_price
2026-08-23T12:25:27.237547,2026-08-26,DEL,HYD,DEL-HYD,IndiGo,6E 853,2026-08-26 20:45,2026-08-27 02:10,6990,INR,Economy,0,SerpApi Google Flights,3.0,-1,-0.05358468598206867,True,low_price
2026-08-23T12:34:17.472825,2026-09-22,BLR,DEL,BLR-DEL,IndiGo,6E 6034,2026-09-22 18:15,2026-09-22 21:05,8554,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.05014921640061176,True,low_price
2026-08-23T12:22:22.818116,2026-08-24,DEL,CCU,DEL-CCU,IndiGo,6E 6236,2026-08-24 16:20,2026-08-24 21:05,6787,INR,Economy,0,SerpApi Google Flights,1.0,-1,-0.05009873809514542,True,low_price
2026-08-23T12:00:57.942656,2026-08-25,BOM,HYD,BOM-HYD,Air India,AI 2869,2026-08-25 21:25,2026-08-25 23:05,6480,INR,Economy,0,SerpApi Google Flights,,-1,-0.04625514791670304,True,high_price
2026-08-23T12:34:17.472825,2026-09-22,BOM,HYD,BOM-HYD,Air India,AI 2875,2026-09-22 19:35,2026-09-22 21:05,5803,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.043462155370851296,True,high_price
2026-08-23T12:34:17.472825,2026-09-22,DEL,BLR,DEL-BLR,Air India,AI 2819,2026-09-22 15:00,2026-09-22 17:55,8735,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.0392841634121921,True,low_price
2026-08-23T12:34:17.472825,2026-09-22,DEL,BOM,DEL-BOM,Air India,AI 2963,2026-09-22 09:00,2026-09-22 11:15,6582,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.03571458046563025,True,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,CCU,DEL-CCU,SpiceJet,SG 905,2026-09-22 20:10,2026-09-22 22:30,7500,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.03469326956371965,True,low_price
2026-08-23T12:25:27.237547,2026-08-26,BLR,HYD,BLR-HYD,IndiGo,6E 6178,2026-08-26 06:25,2026-08-26 07:35,10478,INR,Economy,0,SerpApi Google Flights,3.0,-1,-0.031395118034235336,True,high_price
2026-08-23T12:22:22.818116,2026-08-24,BLR,HYD,BLR-HYD,Star Air,S5 151,2026-08-24 08:05,2026-08-24 09:20,9600,INR,Economy,0,SerpApi Google Flights,1.0,-1,-0.028875228967073507,True,high_price
2026-08-23T12:34:17.472825,2026-09-22,BOM,DEL,BOM-DEL,IndiGo,6E 6028,2026-09-22 12:15,2026-09-22 14:25,6457,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.028848445369050735,True,low_price
2026-08-23T12:34:17.472825,2026-09-22,BLR,BOM,BLR-BOM,Akasa Air,QP 1383,2026-09-22 05:25,2026-09-22 07:10,5073,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.013888859934124809,True,low_price
2026-08-23T12:34:17.472825,2026-09-22,BOM,BLR,BOM-BLR,Akasa Air,QP 1133,2026-09-22 20:05,2026-09-22 21:45,5451,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.013174039223347478,True,high_price
2026-08-23T12:25:27.237547,2026-08-26,BOM,DEL,BOM-DEL,Air India Express,IX 1050,2026-08-26 14:45,2026-08-26 17:00,6390,INR,Economy,0,SerpApi Google Flights,3.0,-1,-0.0071321773961325885,True,low_price
2026-08-23T12:28:48.655759,2026-09-06,BLR,HYD,BLR-HYD,Air India Express,IX 2018,2026-09-06 06:05,2026-09-06 07:25,4476,INR,Economy,0,SerpApi Google Flights,14.0,-1,-0.005438665838203072,True,low_price
2026-08-23T12:27:46.629867,2026-08-30,DEL,HYD,DEL-HYD,Akasa Air,QP 1409,2026-08-30 20:40,2026-08-30 23:10,10061,INR,Economy,0,SerpApi Google Flights,7.0,-1,-0.004243981978463873,True,high_price
2026-08-23T12:34:17.472825,2026-09-22,BLR,DEL,BLR-DEL,Air India Express,IX 1040,2026-09-22 14:40,2026-09-22 17:30,8740,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.0020477828752436533,True,low_price
2026-08-23T12:34:17.472825,2026-09-22,BLR,BOM,BLR-BOM,IndiGo,6E 5293,2026-09-22 01:00,2026-09-22 02:50,4459,INR,Economy,0,SerpApi Google Flights,30.0,-1,-0.0019408323011621542,True,low_price
2026-08-23T12:28:48.655759,2026-09-06,DEL,BOM,DEL-BOM,Akasa Air,QP 1836,2026-09-06 12:30,2026-09-06 14:50,6880,INR,Economy,0,SerpApi Google Flights,14.0,-1,-0.0018439921155983807,True,high_price
2026-08-23T12:22:22.818116,2026-08-24,BOM,BLR,BOM-BLR,Akasa Air,QP 1384,2026-08-24 23:15,2026-08-25 01:00,7401,INR,Economy,0,SerpApi Google Flights,1.0,1,0.0,False,normal
2026-08-23T12:27:46.629867,2026-08-30,DEL,BLR,DEL-BLR,IndiGo,6E 2314,2026-08-30 05:45,2026-08-30 08:40,11777,INR,Economy,0,SerpApi Google Flights,7.0,1,0.0,False,normal
2026-08-23T12:22:22.818116,2026-08-24,BLR,DEL,BLR-DEL,IndiGo,6E 2313,2026-08-24 23:30,2026-08-25 02:20,13181,INR,Economy,0,SerpApi Google Flights,1.0,1,0.00022753143058262815,False,normal
2026-08-23T12:34:17.472825,2026-09-22,DEL,HYD,DEL-HYD,Akasa Air,QP 1409,2026-09-22 20:40,2026-09-22 23:10,8374,INR,Economy,0,SerpApi Google Flights,30.0,1,0.00047155355316264025,False,normal
2026-08-23T12:28:48.655759,2026-09-06,DEL,CCU,DEL-CCU,IndiGo,6E 6378,2026-09-06 14:40,2026-09-06 19:20,7102,INR,Economy,0,SerpApi Google Flights,14.0,1,0.0038548077293021343,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BOM,HYD,BOM-HYD,IndiGo,6E 5193,2026-09-06 08:05,2026-09-06 12:50,5524,INR,Economy,0,SerpApi Google Flights,14.0,1,0.004829128374539082,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BOM,DEL,BOM-DEL,Akasa Air,QP 1127,2026-09-06 13:00,2026-09-06 15:20,6912,INR,Economy,0,SerpApi Google Flights,14.0,1,0.010698266094198994,False,normal
2026-08-23T12:25:27.237547,2026-08-26,BLR,HYD,BLR-HYD,Air India Express,IX 1250,2026-08-26 19:15,2026-08-26 20:35,9854,INR,Economy,0,SerpApi Google Flights,3.0,1,0.012690220289140575,False,normal
2026-08-23T12:28:48.655759,2026-09-06,BOM,HYD,BOM-HYD,Air India,AI 2444,2026-09-06 10:50,2026-09-06 12:25,6113,INR,Economy,0,SerpApi Google Flights,14.0,1,0.013245629746180376,False,normal
