route,airline,price,days_to_departure,anomaly_type,anomaly_score
BOM-BLR,Akasa Air,8671,14.0,high_price,-0.1175406552294372
BLR-BOM,Akasa Air,15959,1.0,high_price,-0.0883977168171628
BOM-DEL,Akasa Air,6912,30.0,high_price,-0.0696516282759471
DEL-BOM,Akasa Air,7243,7.0,high_price,-0.064618522979471
DEL-BLR,Akasa Air,11638,14.0,high_price,-0.061340644004849
DEL-HYD,IndiGo,6990,3.0,low_price,-0.0535846859820686
BLR-DEL,IndiGo,8554,30.0,low_price,-0.0501492164006117
DEL-CCU,IndiGo,6787,1.0,low_price,-0.0500987380951454
BOM-HYD,Air India,6480,,high_price,-0.046255147916703
BOM-HYD,Air India,5803,30.0,high_price,-0.0434621553708512
DEL-BLR,Air India,8735,30.0,low_price,-0.0392841634121921
DEL-BOM,Air India,6582,30.0,normal,-0.0357145804656302
DEL-CCU,SpiceJet,7500,30.0,low_price,-0.0346932695637196
BLR-HYD,IndiGo,10478,3.0,high_price,-0.0313951180342353
BLR-HYD,Star Air,9600,1.0,high_price,-0.0288752289670735
BOM-DEL,IndiGo,6457,30.0,low_price,-0.0288484453690507
BLR-BOM,Akasa Air,5073,30.0,low_price,-0.0138888599341248
BOM-BLR,Akasa Air,5451,30.0,high_price,-0.0131740392233474
BOM-DEL,Air India Express,6390,3.0,low_price,-0.0071321773961325
BLR-HYD,Air India Express,4476,14.0,low_price,-0.005438665838203
DEL-HYD,Akasa Air,10061,7.0,high_price,-0.0042439819784638
BLR-DEL,Air India Express,8740,30.0,low_price,-0.0020477828752436
BLR-BOM,IndiGo,4459,30.0,low_price,-0.0019408323011621
DEL-BOM,Akasa Air,6880,14.0,high_price,-0.0018439921155983
