collected_at,departure_date,origin,destination,airline,flight_number,departure_time,arrival_time,price,currency,travel_class,stops,source,collection_date,collection_time,flight_date,route,days_to_departure,departure_day,departure_hour,arrival_hour,is_weekend,log_price
2026-08-25 00:08:42.605730,2026-09-06,BLR,BOM,IndiGo,6E 5089,2026-09-06 05:30:00,2026-09-06 07:15:00,4459,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.605730,2026-09-06,BLR-BOM,12,Sunday,5,7,True,8.40290404501411
2026-08-25 00:08:42.611788,2026-09-22,BLR,BOM,IndiGo,6E 5293,2026-09-22 01:00:00,2026-09-22 02:50:00,4459,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.611788,2026-09-22,BLR-BOM,28,Tuesday,1,2,False,8.40290404501411
2026-08-25 00:08:42.611800,2026-09-22,BLR,BOM,Air India,AI 2858,2026-09-22 02:20:00,2026-09-22 04:10:00,4617,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.611800,2026-09-22,BLR-BOM,28,Tuesday,2,4,False,8.43771698991444
2026-08-25 00:08:42.605733,2026-09-06,BLR,BOM,SpiceJet,SG 369,2026-09-06 00:45:00,2026-09-06 02:35:00,4844,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.605733,2026-09-06,BLR-BOM,12,Sunday,0,2,True,8.485702524324866
2026-08-25 00:08:42.601927,2026-08-30,BLR,BOM,Air India,AI 2498,2026-08-30 00:45:00,2026-08-30 02:50:00,5037,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.601927,2026-08-30,BLR-BOM,5,Sunday,0,2,True,8.524764456912555
2026-08-25 00:08:42.605735,2026-09-06,BLR,BOM,Air India,AI 2858,2026-09-06 02:20:00,2026-09-06 04:10:00,5037,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.605735,2026-09-06,BLR-BOM,12,Sunday,2,4,True,8.524764456912555
2026-08-25 00:08:42.605737,2026-09-06,BLR,BOM,Akasa Air,QP 1381,2026-09-06 04:50:00,2026-09-06 06:45:00,5073,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.605737,2026-09-06,BLR-BOM,12,Sunday,4,6,True,8.531884740159228
2026-08-25 00:08:42.611804,2026-09-22,BLR,BOM,Akasa Air,QP 1383,2026-09-22 05:25:00,2026-09-22 07:10:00,5073,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.611804,2026-09-22,BLR-BOM,28,Tuesday,5,7,False,8.531884740159228
2026-08-25 00:08:42.601931,2026-08-30,BLR,BOM,IndiGo,6E 5205,2026-08-30 03:45:00,2026-08-30 05:30:00,5299,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.601931,2026-08-30,BLR-BOM,5,Sunday,3,5,True,8.575462099540212
2026-08-25 00:08:42.601933,2026-08-30,BLR,BOM,SpiceJet,SG 369,2026-08-30 00:45:00,2026-08-30 02:35:00,6000,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.601933,2026-08-30,BLR-BOM,5,Sunday,0,2,True,8.699681400989514
2026-08-25 00:08:42.584032,2026-08-25,BLR,BOM,IndiGo,6E 5218,2026-08-25 13:00:00,2026-08-25 14:50:00,7172,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584032,2026-08-25,BLR-BOM,0,Tuesday,13,14,False,8.878079256126435
2026-08-25 00:08:42.584036,2026-08-25,BLR,BOM,IndiGo,6E 5351,2026-08-25 14:20:00,2026-08-25 16:05:00,7172,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584036,2026-08-25,BLR-BOM,0,Tuesday,14,16,False,8.878079256126435
2026-08-25 00:08:42.584544,2026-08-25,BLR,BOM,IndiGo,6E 5218,2026-08-25 13:00:00,2026-08-25 14:50:00,7172,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584544,2026-08-25,BLR-BOM,0,Tuesday,13,14,False,8.878079256126435
2026-08-25 00:08:42.584547,2026-08-25,BLR,BOM,IndiGo,6E 5351,2026-08-25 14:20:00,2026-08-25 16:05:00,7172,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584547,2026-08-25,BLR-BOM,0,Tuesday,14,16,False,8.878079256126435
2026-08-25 00:08:42.594450,2026-08-26,BLR,BOM,IndiGo,6E 5351,2026-08-26 14:20:00,2026-08-26 16:05:00,7172,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.594450,2026-08-26,BLR-BOM,1,Wednesday,14,16,False,8.878079256126435
2026-08-25 00:08:42.584549,2026-08-25,BLR,BOM,IndiGo,6E 5069,2026-08-25 11:30:00,2026-08-25 13:20:00,7487,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584549,2026-08-25,BLR-BOM,0,Tuesday,11,13,False,8.921057018157429
2026-08-25 00:08:42.594457,2026-08-26,BLR,BOM,Air India,AI 2402,2026-08-26 06:35:00,2026-08-26 08:35:00,7647,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.594457,2026-08-26,BLR-BOM,1,Wednesday,6,8,False,8.942199454731238
2026-08-25 00:08:42.584038,2026-08-25,BLR,BOM,Akasa Air,QP 1132,2026-08-25 15:20:00,2026-08-25 17:15:00,7932,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584038,2026-08-25,BLR-BOM,0,Tuesday,15,17,False,8.978786553302003
2026-08-25 00:08:42.601935,2026-08-30,BLR,BOM,Akasa Air,QP 1528,2026-08-30 10:20:00,2026-08-30 12:10:00,7932,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.601935,2026-08-30,BLR-BOM,5,Sunday,10,12,True,8.978786553302003
2026-08-25 00:08:42.594459,2026-08-26,BLR,BOM,Akasa Air,QP 1130,2026-08-26 11:20:00,2026-08-26 13:10:00,8228,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.594459,2026-08-26,BLR-BOM,1,Wednesday,11,13,False,9.015419779605713
2026-08-25 00:08:42.584551,2026-08-25,BLR,BOM,Akasa Air,QP 1132,2026-08-25 15:20:00,2026-08-25 17:15:00,8540,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584551,2026-08-25,BLR-BOM,0,Tuesday,15,17,False,9.052633375946147
2026-08-25 00:08:42.584552,2026-08-25,BLR,BOM,Air India,AI 2852,2026-08-25 10:30:00,2026-08-25 12:35:00,8802,INR,Economy,0,SerpApi Google Flights,2026-08-25,00:08:42.584552,2026-08-25,BLR-BOM,0,Tuesday,10,12,False,9.082847851460906
