days_left,count,mean,median,minimum,maximum
1,1927,21591.867151011935,15163.0,4452,116562
2,4026,30211.299801291603,18017.5,1977,114523
3,4248,28976.08356873823,16333.0,3361,123071
4,5077,25730.905652944653,13054.0,3362,110936
5,5392,26679.773367952523,13054.0,3361,117307
6,5740,24856.493902439026,12417.5,3361,105961
7,5703,25588.36735051727,12990.0,3361,105744
8,5767,24895.883995144788,12658.0,3361,102114
9,5665,25726.246072374226,13947.0,3197,98465
10,5822,25572.819134318102,13303.0,3197,107934
11,6417,22990.656069814555,11520.0,3197,97045
12,6381,22505.803322363266,11346.0,3361,102384
13,6404,22498.885384134916,11323.0,3361,106416
14,6349,22678.002362576783,11389.0,3197,104255
15,6340,21952.540851735015,10560.5,1998,110850
16,6272,20503.546237244896,7205.0,1105,99389
17,6419,20386.353949213273,6874.0,1105,114705
18,6602,19987.44516813087,6271.0,1105,89754
19,6537,19507.677374942636,6170.0,1105,105168
20,6502,19699.98338972624,6132.0,1105,97681
21,6479,19430.494057724958,6111.0,1105,95012
22,6494,19590.667385278717,6188.5,1105,102114
23,6401,19840.913451023276,6450.0,1443,97681
24,6542,19803.90889636197,6332.5,1105,102114
25,6633,19571.641791044774,6055.0,1105,97681
26,6573,19238.290278411685,5955.0,1105,92193
27,6360,19950.866194968552,6065.5,1543,102648
28,6522,19534.98604722478,6032.0,1105,102648
29,6397,19744.653118649367,6158.0,1105,89729
30,6501,19567.58083371789,6275.0,1105,105549
31,6534,19392.706611570247,6067.0,1105,96303
32,6585,19258.135307517085,5949.0,1105,90650
33,6532,19306.271739130436,5960.0,1105,93201
34,6412,19562.008265751716,6082.0,1105,97681
35,6291,19255.652996343983,6158.0,1105,89729
36,6490,19517.68844375963,6109.0,1105,105638
37,6476,19506.306516368128,6171.0,1105,91756
38,6512,19734.912315724814,6389.0,1105,93200
39,6593,19262.095555892614,5960.0,1105,90650
40,6531,19144.972439136425,5894.0,1105,89729
41,6525,19347.440459770114,5937.0,1105,99551
42,6497,19154.261659227337,5934.0,1105,89729
43,6472,19340.528893695922,5949.0,1105,102648
44,6436,19049.080174021132,5978.0,1105,91659
45,6314,19199.87630662021,6006.0,1105,102648
46,6160,19305.351623376624,5949.0,1105,89729
47,6069,18553.272038227056,5806.0,1105,93200
48,6078,18998.12685093781,5910.0,1105,93200
49,6154,18992.971888202796,5949.0,1105,92027
