date,count,mean,median,minimum,maximum
2022-02-11,1927,21591.867151011935,15163.0,4452,116562
2022-02-12,4031,30180.84768047631,17996.0,1977,114523
2022-02-13,4250,28964.21317647059,16332.0,3289,123071
2022-02-14,5079,25723.78066548533,13054.0,3124,110936
2022-02-15,5395,26669.807043558852,13054.0,3361,117307
2022-02-16,5740,24856.493902439026,12417.5,3361,105961
2022-02-17,5703,25588.36735051727,12990.0,3361,105744
2022-02-18,5768,24892.12187933426,12653.5,3196,102114
2022-02-19,5669,25711.792379608396,13947.0,3196,98465
2022-02-20,5823,25568.97630087584,13303.0,3196,107934
2022-02-21,6418,22987.571829230288,11520.0,3196,97045
2022-02-22,6385,22494.92059514487,11346.0,3166,102384
2022-02-23,6404,22498.885384134916,11323.0,3361,106416
2022-02-24,6353,22666.949787501966,11389.0,3124,104255
2022-02-25,6342,21947.08877325765,10551.5,1998,110850
2022-02-26,6279,20485.55916547221,7187.0,1105,99389
2022-02-27,6420,20383.67632398754,6874.0,1105,114705
2022-02-28,6603,19984.902165682266,6271.0,1105,89754
2022-03-01,6541,19498.166641186363,6169.0,1105,105168
2022-03-02,6502,19699.98338972624,6132.0,1105,97681
2022-03-03,6483,19421.007558229216,6109.0,1105,95012
2022-03-04,6495,19588.143187066973,6186.0,1105,102114
2022-03-05,6405,19831.175644028102,6450.0,1443,97681
2022-03-06,6543,19801.370625095522,6330.0,1105,102114
2022-03-07,6633,19571.641791044774,6055.0,1105,97681
2022-03-08,6577,19229.062642542194,5955.0,1105,92193
2022-03-09,6361,19948.227479955982,6064.0,1543,102648
2022-03-10,6527,19522.930289566415,6032.0,1105,102648
2022-03-11,6398,19742.066583307285,6158.0,1105,89729
2022-03-12,6505,19557.991698693313,6262.0,1105,105549
2022-03-13,6536,19387.992809057527,6067.0,1105,96303
2022-03-14,6586,19255.696477376252,5949.0,1105,90650
2022-03-15,6536,19296.876988984088,5960.0,1105,93201
2022-03-16,6412,19562.008265751716,6082.0,1105,97681
2022-03-17,6296,19243.376747141043,6158.0,1105,89729
2022-03-18,6491,19515.17393313819,6109.0,1105,105638
2022-03-19,6480,19496.718209876544,6171.0,1105,91756
2022-03-20,6513,19732.372946414864,6389.0,1105,93200
2022-03-21,6594,19259.659084015773,5960.0,1105,90650
2022-03-22,6535,19135.674980872227,5892.0,1105,89729
2022-03-23,6526,19344.960925528656,5935.5,1105,99551
2022-03-24,6503,19140.98216207904,5934.0,1105,89729
2022-03-25,6473,19338.03475977136,5949.0,1105,102648
2022-03-26,6440,19039.716304347825,5977.5,1105,91659
2022-03-27,6314,19199.87630662021,6006.0,1105,102648
2022-03-28,6160,19305.351623376624,5949.0,1105,89729
2022-03-29,6072,18546.196475625824,5806.0,1105,93200
2022-03-30,6078,18998.12685093781,5910.0,1105,93200
2022-03-31,6157,18985.779762871527,5949.0,1105,92027
