route,count,mean,median,minimum,maximum
Delhi-Hyderabad,9328,17347.288379073758,6109.0,2022,114507
Hyderabad-Delhi,8506,17243.945685398543,6138.0,2200,86203
Mumbai-Delhi,14809,18725.32000810318,6300.0,2336,111437
Hyderabad-Mumbai,10064,20080.865759141496,6633.0,2250,115211
Delhi-Bangalore,14012,17880.216314587495,6642.0,3090,85353
Kolkata-Delhi,10506,19422.35455929945,6723.0,2994,123071
Delhi-Kolkata,11934,20566.409418468244,7084.0,2480,117307
Hyderabad-Bangalore,7854,21347.177998472118,7091.0,1755,97767
Bangalore-Mumbai,12939,23128.618672231238,7113.0,2150,103819
Bangalore-Delhi,13756,17723.313972084907,7164.0,2723,111883
Mumbai-Bangalore,12885,23147.87380675204,7192.0,2074,114523
Delhi-Mumbai,15289,19355.82981228334,7262.0,2281,95657
Chennai-Delhi,9783,18981.863947664315,7352.0,2051,103683
Chennai-Hyderabad,6103,21591.345403899722,7373.0,1105,92752
Delhi-Chennai,10780,19369.881354359924,7425.0,1998,104466
Mumbai-Kolkata,12602,22379.146722742422,7518.0,2835,100909
Mumbai-Hyderabad,10470,21004.04670487106,7584.0,2105,99677
Hyderabad-Chennai,6395,21848.06598905395,7702.0,1543,95208
Hyderabad-Kolkata,7987,20823.89320145236,7767.0,2056,97381
Bangalore-Hyderabad,8928,21226.121191756272,7813.0,1694,83239
Kolkata-Mumbai,11467,22078.883578965728,7958.0,3379,110936
Kolkata-Bangalore,9824,22744.80842833876,8111.0,3465,105638
Bangalore-Kolkata,10028,23500.061228560033,8112.0,3026,105168
Mumbai-Chennai,10130,22781.89911154985,8148.0,1890,111964
Chennai-Mumbai,9338,22765.849646605267,8233.0,1830,114704
Chennai-Kolkata,6983,22669.93240727481,8394.0,2359,104624
Kolkata-Hyderabad,7897,21500.011396732938,8467.0,2436,114705
Kolkata-Chennai,6653,23660.36104013227,8589.0,2966,95183
Bangalore-Chennai,6410,23321.85007800312,9241.0,1603,90720
Chennai-Bangalore,6493,25081.85045433544,10469.0,1443,107597
