collected_at,departure_date,origin,destination,route,airline,flight_number,departure_time,arrival_time,price,currency,travel_class,stops,source,days_to_departure
2026-08-23T12:00:57.942656,2026-08-25,DEL,BOM,DEL-BOM,IndiGo,6E 324,2026-08-25 13:00,2026-08-25 15:10,6425,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,BOM,DEL-BOM,Air India,AI 1785,2026-08-25 12:00,2026-08-25 14:25,6582,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,BOM,DEL-BOM,Air India Express,IX 1605,2026-08-25 06:00,2026-08-25 08:10,6610,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,BOM,DEL-BOM,Akasa Air,QP 1807,2026-08-25 13:40,2026-08-25 15:55,6880,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,BLR,DEL-BLR,IndiGo,6E 846,2026-08-25 22:00,2026-08-26 00:55,8576,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,BLR,DEL-BLR,Air India,AI 2412,2026-08-25 21:30,2026-08-26 00:25,8735,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,BLR,DEL-BLR,Akasa Air,QP 1350,2026-08-25 21:55,2026-08-26 00:50,9031,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,HYD,DEL-HYD,IndiGo,6E 6282,2026-08-25 13:30,2026-08-25 15:45,8295,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,HYD,DEL-HYD,Air India,AI 2899,2026-08-25 12:30,2026-08-25 14:45,8451,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,HYD,DEL-HYD,Akasa Air,QP 1406,2026-08-25 14:10,2026-08-25 16:45,8684,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,CCU,DEL-CCU,Akasa Air,QP 1801,2026-08-25 05:55,2026-08-25 08:15,7933,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,CCU,DEL-CCU,IndiGo,6E 897,2026-08-25 12:45,2026-08-25 15:05,8346,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,DEL,CCU,DEL-CCU,Air India,AI 1704,2026-08-25 13:00,2026-08-25 15:20,8504,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,BLR,BOM-BLR,IndiGo,6E 5294,2026-08-25 04:30,2026-08-25 06:25,4996,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,BLR,BOM-BLR,Air India,AI 2812,2026-08-25 02:05,2026-08-25 04:10,5152,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,BLR,BOM-BLR,Air India,AI 2845,2026-08-25 05:30,2026-08-25 07:35,5152,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,BLR,BOM-BLR,IndiGo,6E 5323,2026-08-25 01:10,2026-08-25 03:05,5311,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,BLR,BOM-BLR,Akasa Air,QP 1516,2026-08-25 00:40,2026-08-25 02:35,6339,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,HYD,BOM-HYD,IndiGo,6E 6187,2026-08-25 00:30,2026-08-25 02:10,5645,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,HYD,BOM-HYD,IndiGo,6E 6195,2026-08-25 23:00,2026-08-26 00:35,6275,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,HYD,BOM-HYD,Air India,AI 2869,2026-08-25 21:25,2026-08-25 23:05,6480,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,DEL,BOM-DEL,IndiGo,6E 6028,2026-08-25 12:15,2026-08-25 14:25,6457,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,DEL,BOM-DEL,Air India,AI 2677,2026-08-25 13:00,2026-08-25 15:15,6614,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,DEL,BOM-DEL,SpiceJet,SG 816,2026-08-25 15:55,2026-08-25 17:55,6722,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,DEL,BOM-DEL,Air India Express,IX 1050,2026-08-25 14:45,2026-08-25 17:00,6724,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BOM,DEL,BOM-DEL,Akasa Air,QP 1819,2026-08-25 14:30,2026-08-25 16:50,6912,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,DEL,BLR-DEL,Air India Express,IX 2786,2026-08-25 09:20,2026-08-25 17:00,9970,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,DEL,BLR-DEL,IndiGo,6E 6653,2026-08-25 12:35,2026-08-25 18:00,10433,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,DEL,BLR-DEL,Air India,AI 428,2026-08-25 14:55,2026-08-25 17:35,12296,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,DEL,BLR-DEL,IndiGo,6E 840,2026-08-25 13:55,2026-08-25 16:45,12463,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,DEL,BLR-DEL,Akasa Air,QP 1821,2026-08-25 13:10,2026-08-25 16:00,12861,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,BOM,BLR-BOM,IndiGo,6E 5218,2026-08-25 13:00,2026-08-25 14:50,7172,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,BOM,BLR-BOM,IndiGo,6E 5351,2026-08-25 14:20,2026-08-25 16:05,7172,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,BOM,BLR-BOM,IndiGo,6E 5069,2026-08-25 11:30,2026-08-25 13:20,7487,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,BOM,BLR-BOM,Akasa Air,QP 1132,2026-08-25 15:20,2026-08-25 17:15,8540,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,BOM,BLR-BOM,Air India,AI 2852,2026-08-25 10:30,2026-08-25 12:35,8802,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,HYD,BLR-HYD,IndiGo,6E 6168,2026-08-25 17:40,2026-08-25 21:15,6118,INR,Economy,0,SerpApi Google Flights,
2026-08-23T12:00:57.942656,2026-08-25,BLR,HYD,BLR-HYD,IndiGo,6E 6067,2026-08-25 16:30,2026-08-25 17:45,7449,INR,Economy,0,SerpApi Google Flights,
